year,party_code,uo_code,delta_mkr,source_url,source_section
2025,S,UO01,-280,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO02,50,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO03,0,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO04,145,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO05,0,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO06,0,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO07,1000,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO08,0,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO09,363,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO10,234.3,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO11,1050,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO12,5369,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO13,92,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO14,1017,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO15,774,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO16,4710,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO17,1696,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO18,510,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO19,2620,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO20,1300,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO21,100,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO22,1675,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO23,155,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO24,180,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO25,8126,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO26,0,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,S,UO27,0,https://data.riksdagen.se/fil/BFEF120C-4ADE-4888-A8D8-753885AB18C7,"BILAGA 2 Förslag till utgiftsramar för 2025, Tusental kronor (mot. 2024/25:3199)"
2025,C,UO01,-580,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO02,-4,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO03,-170,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO04,450,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO05,0,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO06,350,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO07,1703,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO08,-105,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO09,311,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO10,-760,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO11,0,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO12,-1300,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO13,580,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO14,-15474.5,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO15,-86.8,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO16,5086.8,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO17,745,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO18,10,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO19,55,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO20,4990,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO21,355,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
2025,C,UO22,1000,https://data.riksdagen.se/fil/62496888-40E7-451D-AA9B-F1A47A7C56CD,"Tabell 6 Förslag till utgiftsramar 2025, Tusental kronor (mot. 2024/25:2962)"
