# Auto-generated by scripts/skatteutgifter/parse-bilaga.ts from data/skr-2025-98.txt
# Source: Regeringens skr. 2024/25:98 "Redovisning av skatteutgifter 2025".
# Column 2024 = utfall, 2025/2026 = prognos. Amounts in Mkr (×1000 from Mdkr in bilaga).
# Do NOT hand-edit; re-run the parser. For items NOT in the bilaga, use skatteutgifter-extras.csv.
year,code,amount_mkr,is_estimated
2024,A6,0,false
2025,A6,0,true
2026,A6,0,true
2024,A8,50,false
2025,A8,50,true
2026,A8,50,true
2024,A10,800,false
2025,A10,810,true
2026,A10,830,true
2024,A11,7270,false
2025,A11,7380,true
2026,A11,6960,true
2024,A12,990,false
2025,A12,1340,true
2026,A12,1480,true
2024,A15,4710,false
2025,A15,5280,true
2026,A15,5530,true
2024,A25,0,false
2025,A25,0,true
2026,A25,0,true
2024,A31,0,false
2025,A31,0,true
2026,A31,0,true
2024,A35,0,false
2025,A35,0,true
2026,A35,0,true
2024,A36,280,false
2025,A36,380,true
2026,A36,470,true
2024,A37,280,false
2025,A37,280,true
2026,A37,140,true
2024,A38,-120,false
2025,A38,-120,true
2026,A38,-120,true
2024,A39,180,false
2025,A39,180,true
2026,A39,180,true
2024,A40,0,false
2025,A40,0,true
2026,A40,0,true
2024,A41,55570,false
2025,A41,61640,true
2026,A41,63280,true
2024,B1,140,false
2025,B1,150,true
2026,B1,160,true
2024,B3,2990,false
2025,B3,2970,true
2026,B3,2970,true
2024,B4,840,false
2025,B4,890,true
2026,B4,950,true
2024,B5,150,false
2025,B5,150,true
2026,B5,150,true
2024,B6,0,false
2025,B6,0,true
2026,B6,0,true
2024,B10,290,false
2025,B10,300,true
2026,B10,310,true
2024,B11,2860,false
2025,B11,3200,true
2026,B11,3390,true
2024,B12,230,false
2025,B12,240,true
2026,B12,250,true
2024,B13,-450,false
2025,B13,320,true
2026,B13,-30,true
2024,B16,0,false
2025,B16,0,true
2026,B16,0,true
2024,B17,30,false
2025,B17,30,true
2026,B17,30,true
2024,B18,60,false
2025,B18,70,true
2026,B18,70,true
2024,B21,-90,false
2025,B21,60,true
2026,B21,-10,true
2024,B22,-2500,false
2025,B22,-2630,true
2026,B22,-2720,true
2024,B23,-12200,false
2025,B23,-12320,true
2026,B23,-12440,true
2024,B24,-2440,false
2025,B24,-3210,true
2026,B24,-3240,true
2024,B25,-1240,false
2025,B25,-1620,true
2026,B25,-1630,true
2024,C1,28690,false
2025,C1,30000,true
2026,C1,31790,true
2024,C2,6430,false
2025,C2,6660,true
2026,C2,6930,true
2024,C3,2020,false
2025,C3,2100,true
2026,C3,2200,true
2024,C4,12910,false
2025,C4,13420,true
2026,C4,14070,true
2024,C6,2510,false
2025,C6,2670,true
2026,C6,2690,true
2024,C7,7300,false
2025,C7,7340,true
2026,C7,7350,true
2024,C8,18900,false
2025,C8,21080,true
2026,C8,24260,true
2025,C11,4400,true
2026,C11,7000,true
2024,C13,10,false
2025,C13,10,true
2026,C13,10,true
2024,C14,20,false
2025,C14,20,true
2026,C14,20,true
2024,C15,2200,false
2025,C15,2330,true
2026,C15,2410,true
2024,C16,9490,false
2025,C16,5560,true
2026,C16,1770,true
2024,C18,-1120,false
2025,C18,-490,true
2026,C18,-410,true
2024,D1,60,false
2025,D1,60,true
2026,D1,70,true
2024,D2,1700,false
2025,D2,1760,true
2026,D2,1870,true
2024,D3,630,false
2025,D3,660,true
2026,D3,690,true
2024,D4,2870,false
2025,D4,2990,true
2026,D4,3120,true
2024,D5,180,false
2025,D5,280,true
2026,D5,450,true
2024,D8,1020,false
2025,D8,990,true
2026,D8,1000,true
2024,D9,5790,false
2025,D9,5990,true
2026,D9,6520,true
2024,D10,-25010,false
2025,D10,-26470,true
2026,D10,-29050,true
2024,E1,42250,false
2025,E1,43950,true
2026,E1,45860,true
2024,E2,17170,false
2025,E2,18000,true
2026,E2,18990,true
2024,E3,4520,false
2025,E3,4740,true
2026,E3,5000,true
2024,E4,170,false
2025,E4,180,true
2026,E4,190,true
2024,E5,50,false
2025,E5,50,true
2026,E5,50,true
2024,E6,9190,false
2025,E6,9630,true
2026,E6,10150,true
2024,E7,6080,false
2025,E7,6370,true
2026,E7,6710,true
2024,E8,2070,false
2025,E8,2230,true
2026,E8,2370,true
2024,E9,1680,false
2025,E9,1810,true
2026,E9,1920,true
2024,E10,2340,false
2025,E10,2460,true
2026,E10,2590,true
2024,E12,2460,false
2025,E12,2640,true
2026,E12,2800,true
2024,E13,1280,false
2025,E13,1330,true
2026,E13,1410,true
2024,E14,2620,false
2025,E14,2670,true
2026,E14,2750,true
2024,E15,120,false
2025,E15,120,true
2026,E15,120,true
2024,E17,450,false
2025,E17,730,true
2026,E17,760,true
2024,F1,7500,false
2025,F1,2960,true
2026,F1,2800,true
2024,F2,0,false
2025,F2,0,true
2026,F2,0,true
2024,F3,90,false
2025,F3,60,true
2026,F3,50,true
2024,F4,1670,false
2025,F4,1080,true
2026,F4,970,true
2024,F5,1120,false
2025,F5,1170,true
2026,F5,1190,true
2024,F6,40,false
2025,F6,30,true
2026,F6,30,true
2024,F7,510,false
2025,F7,330,true
2026,F7,300,true
2024,F8,320,false
2025,F8,210,true
2026,F8,190,true
2024,F9,590,false
2025,F9,520,true
2024,F10,180,false
2025,F10,180,true
2026,F10,170,true
2024,F11,4480,false
2025,F11,4700,true
2026,F11,4760,true
2024,F13,16880,false
2025,F13,17350,true
2026,F13,17900,true
2024,F14,640,false
2025,F14,660,true
2026,F14,660,true
2024,F15,900,false
2025,F15,880,true
2026,F15,880,true
2024,F16,980,false
2025,F16,1010,true
2026,F16,770,true
2024,F17,50,false
2025,F17,60,true
2026,F17,60,true
2024,F18,680,false
2025,F18,690,true
2026,F18,680,true
2024,F19,3520,false
2025,F19,3250,true
2026,F19,2740,true
2024,F20,0,false
2025,F20,0,true
2026,F20,0,true
2024,F22,30,false
2025,F22,50,true
2026,F22,60,true
2024,G1,40,false
2025,G1,40,true
2026,G1,40,true
2024,G2,4120,false
2025,G2,4150,true
2026,G2,4220,true
2024,G3,8200,false
2025,G3,8490,true
2026,G3,8790,true
2024,G4,12320,false
2025,G4,16380,true
2026,G4,12450,true
2024,G5,540,false
2025,G5,610,true
2026,G5,630,true
2024,G6,730,false
2025,G6,730,true
2024,G7,540,false
2025,G7,550,true
2026,G7,560,true
2024,G8,3370,false
2025,G8,3370,true
2026,G8,3370,true
2024,G9,1360,false
2025,G9,1370,true
2026,G9,1370,true
2024,G10,1590,false
2025,G10,1600,true
2026,G10,1610,true
2024,G11,175580,false
2025,G11,196730,true
2026,G11,203350,true
2024,G12,5410,false
2025,G12,5620,true
2026,G12,5920,true
